n,k,algorithm,avg_comparisons,avg_swaps
13800,1,deterministic,108592.3,62536.1
13900,1,randomized,28572.88,14702.76
13900,1,deterministic,109246.52,62872.28
14000,1,randomized,29722.24,15750.94
14000,1,deterministic,110769.3,63763.12
14100,1,randomized,28831.9,14761.3
14100,1,deterministic,111122.56,63999.4
14200,1,randomized,28268.38,14097.46
14200,1,deterministic,111989.8,64477.5
14300,1,randomized,27435.8,13163.38
14300,1,deterministic,113269.72,65166.72
14400,1,randomized,28368.92,13998.16
14400,1,deterministic,113676.88,65443.58
14500,1,randomized,30751.4,16280.42
14500,1,deterministic,114550.02,65942.08
14600,1,randomized,27917.14,13345.12
14600,1,deterministic,115710.86,66573.7
14700,1,randomized,30637.08,15965.88
14700,1,deterministic,116291.86,66909.04
14800,1,randomized,30903.18,16132.84
14800,1,deterministic,117247.06,67556.7
14900,1,randomized,31759.4,16889.14
14900,1,deterministic,117735.58,67748.54
15000,1,randomized,29997.7,15028.06
15000,1,deterministic,118763.48,68360.38
15100,1,randomized,28736.84,13663.96
15100,1,deterministic,119315.88,68702.34
15200,1,randomized,30718.68,15546.76
15200,1,deterministic,120498.32,69349.44
15300,1,randomized,26715.02,11445.26
15300,1,deterministic,120875.7,69564.94
15400,1,randomized,30879.54,15509.88
15400,1,deterministic,121499.02,69908.06
15500,1,randomized,29834.46,14363.54
15500,1,deterministic,123118.08,70782.88
15600,1,randomized,30291.6,14720.04
15600,1,deterministic,123467.76,71005.24
15700,1,randomized,28173.28,12498.56
15700,1,deterministic,124815.9,71810.16
15800,1,randomized,31749.4,15978.18
15800,1,deterministic,125182.36,72009.28
15900,1,randomized,32233.14,16363.54
15900,1,deterministic,125579.36,72226.36
16000,1,randomized,27636.22,11664.04
16000,1,deterministic,126741.04,72915.5
16100,1,randomized,33286.18,17217.04
16100,1,deterministic,127850.4,73487.5
16200,1,randomized,32480.08,16310.68
16200,1,deterministic,129129.08,74283.92
16300,1,randomized,33294.04,17024.46
16300,1,deterministic,128819.28,74087.24
16400,1,randomized,33577.4,17208.42
16400,1,deterministic,130294.54,74939.66
16500,1,randomized,29917.9,13446.0
16500,1,deterministic,130528.68,75093.28
16600,1,randomized,33012.38,16441.76
16600,1,deterministic,131686.7,75729.32
16700,1,randomized,32050.7,15379.22
16700,1,deterministic,131947.96,75908.58
