n,group_size,k,avg_comparisons,avg_swaps,avg_time_sec
43000,3,15,362670.9,204041.16666666666,0.130097500483195
43000,3,20,364100.56666666665,204707.63333333333,0.12755412260691326
43000,3,30,363611.56666666665,204461.93333333332,0.12460562388102213
44000,3,15,374089.8,210370.36666666667,0.13149607181549072
44000,3,20,374262.0333333333,210658.3,0.12953823407491047
44000,3,30,374010.86666666664,210397.26666666666,0.12885432243347167
45000,3,15,380119.0333333333,213709.76666666666,0.1340272823969523
45000,3,20,381387.8333333333,214506.2,0.12852272987365723
45000,3,30,382952.6666666667,215301.66666666666,0.13177501360575358
46000,3,15,391026.3,219699.56666666668,0.13252522945404052
46000,3,20,390895.23333333334,219858.63333333333,0.13252904415130615
46000,3,30,386261.8333333333,217243.43333333332,0.1334325710932414
47000,3,15,399683.3333333333,224657.46666666667,0.14172863165537516
47000,3,20,400137.3,224754.96666666667,0.14196248054504396
47000,3,30,399565.8,224845.6,0.13646491368611655
48000,3,15,409066.1,230147.73333333334,0.14136676788330077
48000,3,20,408281.63333333336,229795.36666666667,0.13974183400472004
48000,3,30,403931.43333333335,227015.66666666666,0.14062405427296956
49000,3,15,414455.3,233037.7,0.1432263135910034
49000,3,20,417129.9666666667,234672.03333333333,0.14422636826833088
49000,3,30,416793.13333333336,234293.7,0.1450292428334554
50000,3,15,425868.1666666667,239553.4,0.14753541946411133
50000,3,20,424566.23333333334,238884.93333333332,0.14557831287384032
50000,3,30,422457.8,237490.8,0.14656156698862713
1000,5,15,7267.066666666667,4240.533333333334,0.0027467091878255207
1000,5,20,7205.333333333333,4190.666666666667,0.0024414698282877604
1000,5,30,7301.833333333333,4256.333333333333,0.0026579697926839194
2000,5,15,14928.4,8634.633333333333,0.004774800936381022
2000,5,20,14773.8,8581.4,0.00503545602162679
2000,5,30,14952.0,8665.866666666667,0.004519112904866536
3000,5,15,22766.2,13172.3,0.007163794835408529
3000,5,20,22913.833333333332,13259.3,0.0067858139673868815
3000,5,30,22762.433333333334,13186.333333333334,0.008334477742513021
4000,5,15,30659.9,17730.833333333332,0.00920561154683431
4000,5,20,30735.0,17764.7,0.009880995750427246
4000,5,30,30646.233333333334,17682.933333333334,0.010459113121032714
